Date,LQD,HYG,SPY
2015-01-02,79.4454116821,48.073135376,169.267425537
2015-01-05,79.7702178955,47.6277885437,166.210632324
2015-01-06,80.0951385498,47.4453468323,164.645065308
2015-01-07,80.2011566162,47.740447998,166.696731567
2015-01-08,79.9426345825,48.0999336243,169.654785156
2015-01-09,80.1547851562,48.3413658142,168.295211792
2015-01-12,80.3072967529,48.2823143005,166.976867676
2015-01-13,80.3802185059,48.2823143005,166.507278442
2015-01-14,80.5194244385,48.1696548462,165.501983643
2015-01-15,80.9371109009,47.874584198,163.98588562
2015-01-16,80.486289978,48.0569915771,166.136444092
2015-01-20,80.6718978882,47.9711494446,166.490753174
2015-01-21,80.6387786865,48.2286720276,167.331192017
2015-01-22,80.598991394,48.2930679321,169.819580078
2015-01-23,81.0697174072,48.2930679321,168.888519287
2015-01-26,81.0498199463,48.5130805969,169.283966064
2015-01-27,81.1095275879,48.4754905701,167.051040649
2015-01-28,81.6597595215,48.3735618591,164.908721924
2015-01-29,81.4674911499,48.5452575684,166.433059692
2015-01-30,82.1370697021,48.4110946655,164.340179443
2015-02-02,82.2135772705,48.5969619751,166.375366211
2015-02-03,81.5487823486,48.8717422485,168.781387329
2015-02-04,81.6617889404,48.667011261,168.138687134
2015-02-05,81.402557373,48.9525184631,169.836029053
2015-02-06,80.5515823364,48.9902191162,169.366424561
2015-02-09,80.6047897339,48.8717422485,168.608352661
2015-02-10,80.3853988647,49.0387039185,170.404556274
2015-02-11,80.4385910034,49.0225753784,170.503463745
2015-02-12,80.6447067261,49.0171890259,172.143173218
2015-02-13,80.3255844116,49.0871658325,172.851776123
2015-02-17,79.9533004761,49.0548439026,173.123703003
2015-02-18,80.2391891479,49.2219009399,173.140167236
2015-02-19,80.2258377075,49.1087341309,173.016571045
2015-02-20,80.345489502,49.2434310913,174.054748535
2015-02-23,80.6180419922,49.2811279297,174.030029297
2015-02-24,81.1432571411,49.3296012878,174.524429321
2015-02-25,81.2163848877,49.491230011,174.37612915
2015-02-26,80.7776412964,49.4804458618,174.170135498
2015-02-27,80.970413208,49.491230011,173.576858521
2015-03-02,80.2685089111,49.4820137024,174.672805786
2015-03-03,80.2218704224,49.3413848877,173.955871582
2015-03-04,80.1685409546,49.2493743896,173.222564697
2015-03-05,80.2751693726,49.3413848877,173.412139893
2015-03-06,79.4219894409,49.0275535583,170.973098755
2015-03-09,79.7419586182,48.9247817993,171.681716919
2015-03-10,79.8685455322,48.7354202271,168.896697998
2015-03-11,80.2751693726,48.8706550598,168.501235962
2015-03-12,80.1951828003,48.9680595398,170.643554688
2015-03-13,79.9685516357,48.8003349304,169.597106934
2015-03-16,80.0485153198,48.7516517639,171.863037109
2015-03-17,80.1818618774,48.5081863403,171.352142334
2015-03-18,81.1684036255,48.9409751892,173.412139893
2015-03-19,80.7551345825,48.5514640808,172.621047974
2015-03-20,80.9817352295,48.9301757812,174.144760132
2015-03-23,81.1684036255,48.9680595398,173.805419922
2015-03-24,81.2883605957,49.0438041687,172.828826904
2015-03-25,81.0217819214,48.9139404297,170.29624939
2015-03-26,80.5217971802,48.9085426331,169.890625
2015-03-27,80.8417663574,48.9463996887,170.279663086
2015-03-30,80.9817352295,49.0816917419,172.357009888
2015-03-31,81.12840271,49.0221328735,170.850708008
2015-04-01,81.361656189,49.1232299805,170.246551514
2015-04-02,81.2279586792,49.1612434387,170.859039307
2015-04-06,81.3349304199,49.2862815857,172.009490967
2015-04-07,81.6289978027,49.5471229553,171.554199219
2015-04-08,81.6022796631,49.5362510681,172.133560181
2015-04-09,81.1878585815,49.4873428345,172.89503479
2015-04-10,81.3014907837,49.6014556885,173.838546753
2015-04-13,81.2747650146,49.5090942383,173.05229187
2015-04-14,81.4619064331,49.5308418274,173.383331299
2015-04-15,81.5153579712,49.7264709473,174.161300659
2015-04-16,81.4685821533,49.6232299805,174.111633301
2015-04-17,81.6891403198,49.4710273743,172.108734131
2015-04-20,81.4953613281,49.5797386169,173.681304932
2015-04-21,81.4752731323,49.612361908,173.47442627
2015-04-22,80.9472503662,49.5634536743,174.326797485
2015-04-23,81.1544418335,49.5471229553,174.765487671
2015-04-24,81.3082427979,49.6286430359,175.171066284
2015-04-27,81.248046875,49.6449432373,174.442718506
2015-04-28,80.7668075562,49.5688552856,174.997253418
2015-04-29,80.0984420776,49.4764823914,174.27722168
2015-04-30,80.1653137207,49.4493370056,172.530883789
2015-05-01,79.722946167,49.5595779419,174.401351929
2015-05-04,79.468208313,49.5486602783,174.897918701
2015-05-05,79.3341827393,49.4831733704,172.89503479
2015-05-06,78.9923629761,49.3358039856,172.18321228
2015-05-07,79.3074111938,49.3303260803,172.87020874
2015-05-08,79.7631378174,49.7179031372,175.146255493
2015-05-11,78.9588623047,49.4067306519,174.310333252
2015-05-12,78.8449249268,49.4012870789,173.788833618
2015-05-13,78.7712097168,49.3303260803,173.822006226
2015-05-14,79.0392990112,49.5705070496,175.634521484
2015-05-15,79.5888671875,49.6796569824,175.824905396
2015-05-18,78.9789505005,49.5977973938,176.371124268
2015-05-19,78.5566864014,49.5213813782,176.313232422
2015-05-20,78.6505584717,49.4613304138,176.189041138
2015-05-21,79.0258865356,49.5322799683,176.702163696
2015-05-22,78.9722595215,49.5705070496,176.280105591
2015-05-26,79.3208084106,49.4667816162,174.384765625
2015-05-27,79.4011688232,49.575920105,176.040054321
2015-05-28,79.2336654663,49.5540809631,175.841445923
2015-05-29,79.2671127319,49.6250648499,174.748947144
2015-06-01,78.8228912354,49.708442688,175.104873657
2015-06-02,78.4196472168,49.6152153015,174.930999756
2015-06-03,77.9155578613,49.3465194702,175.39453125
2015-06-04,78.3188323975,49.1875648499,173.913009644
2015-06-05,77.9222793579,49.0395126343,173.615066528
2015-06-08,77.8685379028,49.0395126343,172.547424316
2015-06-09,77.5190658569,48.9572486877,172.522583008
2015-06-10,77.3107147217,49.0230445862,174.591690063
2015-06-11,77.9962615967,49.1217422485,175.15447998
2015-06-12,77.8618011475,48.9408187866,173.813720703
2015-06-15,77.8483886719,48.710521698,173.068786621
2015-06-16,78.043296814,48.9846382141,174.012298584
2015-06-17,78.0365600586,48.9408187866,174.293731689
2015-06-18,77.8954238892,49.1217422485,176.106307983
2015-06-19,78.3121414185,49.1491508484,175.324539185
2015-06-22,77.6938247681,49.2478675842,176.222747803
2015-06-23,77.5190658569,49.2149734497,176.347457886
2015-06-24,77.7341079712,49.08335495,175.066696167
2015-06-25,77.6064224243,48.9353637695,174.534408569
2015-06-26,77.2502288818,48.7927322388,174.501144409
2015-06-29,77.9222793579,48.4583053589,170.841766357
2015-06-30,77.7744369507,48.6886100769,171.199447632
2015-07-01,77.5250854492,48.6968727112,172.571670532
2015-07-02,77.821647644,48.878616333,172.413635254
2015-07-06,78.131652832,48.7188796997,171.922973633
2015-07-07,78.4552307129,48.7574691772,173.004135132
2015-07-08,78.5630645752,48.5151138306,170.101577759
2015-07-09,78.0440597534,48.6252441406,170.409332275
2015-07-10,77.5453338623,48.9061126709,172.555038452
2015-07-13,77.3767700195,48.9501991272,174.459594727
2015-07-14,77.444190979,48.9006347656,175.216369629
2015-07-15,77.6463775635,48.9006347656,175.158218384
2015-07-16,77.7676696777,48.9777374268,176.563735962
