Date,SPY,QQQ,GLD,Equal Weight Portfolio
2019-01-03,,,,
2019-01-04,,,,
2019-01-07,,,,
2019-01-08,,,,
2019-01-09,,,,
2019-01-10,,,,
2019-01-11,,,,
2019-01-14,,,,
2019-01-15,,,,
2019-01-16,,,,
2019-01-17,,,,
2019-01-18,,,,
2019-01-22,,,,
2019-01-23,,,,
2019-01-24,,,,
2019-01-25,,,,
2019-01-28,,,,
2019-01-29,,,,
2019-01-30,,,,
2019-01-31,,,,
2019-02-01,,,,
2019-02-04,,,,
2019-02-05,,,,
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,,,
2019-02-14,,,,
2019-02-15,,,,
2019-02-19,,,,
2019-02-20,,,,
2019-02-21,,,,
2019-02-22,,,,
2019-02-25,,,,
2019-02-26,,,,
2019-02-27,,,,
2019-02-28,,,,
2019-03-01,,,,
2019-03-04,,,,
2019-03-05,,,,
2019-03-06,,,,
2019-03-07,,,,
2019-03-08,,,,
2019-03-11,,,,
2019-03-12,,,,
2019-03-13,,,,
2019-03-14,,,,
2019-03-15,,,,
2019-03-18,,,,
2019-03-19,,,,
2019-03-20,,,,
2019-03-21,,,,
2019-03-22,,,,
2019-03-25,,,,
2019-03-26,,,,
2019-03-27,,,,
2019-03-28,,,,
2019-03-29,,,,
2019-04-01,,,,
2019-04-02,,,,
2019-04-03,0.13366711681638446,0.17760189097178145,0.09915067754633365,0.10191344443571661
2019-04-04,0.1226775452876546,0.1624803905525057,0.09759420621561445,0.0954815754882909
2019-04-05,0.10561705239131394,0.14139599245469353,0.09623718613124904,0.08571596555341174
2019-04-08,0.10502347731504044,0.1401597624277923,0.09637958334003863,0.08484545408216476
2019-04-09,0.10494286553443734,0.1400540522946169,0.0967443330138227,0.08468980590061978
2019-04-10,0.10483643847885214,0.13969796539402257,0.09610520384086436,0.08425083210563411
2019-04-11,0.1048661440528021,0.14000938418090816,0.09882852456977108,0.08524548625166753
2019-04-12,0.1052928683023538,0.13954969074322268,0.09879204677724131,0.08525016045269188
2019-04-15,0.10416862206479355,0.13775974863587742,0.0987468326504952,0.08460909824214244
2019-04-16,0.10239982114491053,0.13337521347944573,0.10029692060022798,0.08313645154759317
2019-04-17,0.10274456741206194,0.13330326351855512,0.10012164372898917,0.0831907183493554
2019-04-18,0.10205621532781499,0.1328368063334826,0.10011699939004114,0.08289533121559232
2019-04-22,0.09927243039298614,0.13192429484031917,0.09853687407153956,0.0825822012172178
2019-04-23,0.09562466642999332,0.12570206899906478,0.09833944523647678,0.08008630328541469
2019-04-24,0.09596037681669269,0.1262072032510971,0.0984959649687459,0.08019845268373764
2019-04-25,0.09604641852902905,0.1259944595188336,0.09846629836670313,0.08019410716418626
2019-04-26,0.09525904834322171,0.12456254364739903,0.09486200177638024,0.077631684626098
2019-04-29,0.09338336465653284,0.12093733964000608,0.09494217966339662,0.07648229108712365
2019-04-30,0.0932050623453639,0.12029950123514029,0.09443611483156254,0.07643075214939604
2019-05-01,0.09061438852805441,0.11151456941919398,0.09443434065182327,0.07202567738123346
2019-05-02,0.0896594224308281,0.10914751000563368,0.09463731388489885,0.07111743627491182
2019-05-03,0.09123683124487503,0.11201651623384996,0.09548473948517702,0.07348694046289116
2019-05-06,0.09118131547961708,0.11124449717192791,0.09522645393320742,0.07345958463529388
2019-05-07,0.09778516208353458,0.11821946358135439,0.09533012375570367,0.07665926255353743
2019-05-08,0.09779188921029484,0.11815381138430157,0.09454666572847546,0.07636371829242108
2019-05-09,0.0958087680295338,0.11510075612531306,0.09454293104125645,0.07502777552894271
2019-05-10,0.09614073654234552,0.11509912390766472,0.0942831699967862,0.07506555940326956
2019-05-13,0.10951628706991622,0.13596362241216314,0.09613736178457122,0.08253110176872477
2019-05-14,0.10804783418291455,0.13459949010665226,0.09608445056330732,0.08110746757709024
2019-05-15,0.10843116007118565,0.13715698955171324,0.09577925750983261,0.08198397212300287
2019-05-16,0.10961508586751269,0.1383073501786942,0.09609797633258287,0.08225669172836647
2019-05-17,0.10864012091993318,0.140069300132112,0.0961758916762129,0.08294694872687294
2019-05-20,0.10955545890564666,0.14457362629494425,0.0907089548883406,0.08366079442895784
2019-05-21,0.11085199770321345,0.14584923116730988,0.09074201953171904,0.08439789965368702
2019-05-22,0.1107833053286727,0.14595983588291822,0.0881835181112756,0.08362900703740425
2019-05-23,0.1130709429951006,0.14889436422426902,0.08936532874114109,0.0840012554019949
2019-05-24,0.1131212251318942,0.14877591225805537,0.08941742482227981,0.08398216422170254
2019-05-28,0.11471966440269518,0.14901362129111373,0.08955549160177058,0.08475049638730285
2019-05-29,0.11553197927089164,0.15000110173251952,0.08859391383363818,0.0851378920660941
2019-05-30,0.115589309567144,0.15010750950910215,0.08914117164835703,0.08537733463795791
2019-05-31,0.11804229170353023,0.1530091060806106,0.0867013098298867,0.08601753364788675
2019-06-03,0.11793288257388312,0.15923765000038914,0.09104349538946628,0.08618940931714236
2019-06-04,0.12575816897474304,0.16911236800917576,0.09102780292897948,0.09246202194896504
2019-06-05,0.1262327001925204,0.16931975020076945,0.09108059713413676,0.09276711865341924
2019-06-06,0.12552720336022175,0.16802878702873592,0.09120424595308431,0.09210842978105188
2019-06-07,0.126785262118688,0.1720544212933436,0.08935125361714437,0.09465091476914322
2019-06-10,0.12396478215678691,0.16871264124118981,0.09114825354972346,0.0927642752813466
